Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
9.362716585249999945e-02,6.275001468180000375e-01,5.333815567532951274e-01
2.421028304620000127e-02,6.379339184810000063e-01,5.428156006175711701e-01
9.626628726769999311e-02,3.386772726839999970e-01,5.449308720803525130e-01
7.917686651340000159e-02,7.410195224319999774e-01,5.262586012392740376e-01
7.997792117910000609e-02,6.359733666589999501e-01,5.334766700956944385e-01
3.864362598249999892e-02,4.342057205389999730e-01,5.492583197482979740e-01
7.030190058099999818e-04,7.231561315810000057e-01,5.743853600036572526e-01
9.808130712460000344e-02,4.004599421939999959e-01,5.437240654359914993e-01
7.897806572390000251e-03,4.224395583600000226e-01,5.710775426999981086e-01
4.591765922850000320e-02,8.412326661800000327e-01,5.105291395629601992e-01
5.697091100710000022e-02,8.262983394559999528e-01,5.158847744771831723e-01
9.623284428919999522e-02,6.588400921070000082e-01,5.303780613558745083e-01
6.677749224500000025e-02,7.916429513279999997e-01,5.192069727216360731e-01
1.048950511110000039e-02,4.280278484949999740e-01,5.669516238322624968e-01
4.264957022509999890e-02,6.837032374670000134e-01,5.358442918199155525e-01
3.015896371950000168e-02,7.829749409949999794e-01,5.282207841055209796e-01
2.606958671870000105e-02,8.614453945679999558e-01,5.076622736060465435e-01
4.959049637369999930e-02,8.664165694459999845e-01,5.052235154301172315e-01
8.882773514099999435e-02,3.452177686949999824e-01,5.460811341182019163e-01
6.348070654899999610e-02,5.721920929260000399e-01,5.375295326568918508e-01
7.565637521920000330e-02,7.496848138620000324e-01,5.261357516146577540e-01
2.761918126029999990e-02,3.808107036019999780e-01,5.553995136266166588e-01
2.345264385899999832e-02,8.865118951310000384e-01,5.009649169659231571e-01
8.664563596230000220e-02,5.834177187179999668e-01,5.375812105811532682e-01
3.400335974839999859e-02,4.850999119220000266e-01,5.493219727992459944e-01
7.285988893750000583e-02,5.160772736530000460e-01,5.416762691836617405e-01
2.889614475189999920e-02,8.170753491290000392e-01,5.199464502113614328e-01
6.749390770389999961e-02,5.236854121670000417e-01,5.412128593286891221e-01
3.565837209589999956e-03,3.014395972660000034e-01,5.965059149264629879e-01
8.767624934940000669e-02,4.057037259779999738e-01,5.440907012717072222e-01
9.849146306339999490e-02,7.383507844229999506e-01,5.251268394305507181e-01
4.118582421840000229e-02,8.756619263289999733e-01,5.009199773738900463e-01
5.756786463590000263e-02,8.631078455449999742e-01,5.052594001198912332e-01
7.974373057559999700e-02,8.546923634769999500e-01,5.071513604697963640e-01
6.286922181409999866e-02,5.780316512900000037e-01,5.387465753420831449e-01
3.344426065060000092e-02,8.809988833530000285e-01,4.983452703920581706e-01
8.084906711290000547e-02,6.908398526919999894e-01,5.296036429386504762e-01
3.666412996590000251e-02,7.484997118670000393e-01,5.286360035497175147e-01
1.795796649119999963e-02,4.090884634740000192e-01,5.598098786106956437e-01
8.082469165689999679e-02,4.573216571659999841e-01,5.424692331205372975e-01
7.957161113329999647e-02,7.335094853800000481e-01,5.264872364325463572e-01
2.470028182759999996e-02,3.889873271659999854e-01,5.561149761683863435e-01
9.983327956199999909e-02,7.495336642259999849e-01,5.242447637769983571e-01
1.263838982299999962e-02,5.986058518450000365e-01,5.507167526538554458e-01
9.941823574479999315e-02,8.609691005180000190e-01,5.028718835108161311e-01
1.263927759349999956e-03,5.764075702280000435e-01,5.935950368488184248e-01
6.775809336879999589e-02,6.804796669849999535e-01,5.315699423819082448e-01
9.630270096409999925e-02,4.465669906449999949e-01,5.422323132361754894e-01
2.505348226819999885e-02,3.015898868069999961e-01,5.604280464814556106e-01
2.589865263369999990e-02,8.463713454660000135e-01,5.155775581200332525e-01
2.181160009369999958e-02,4.411017909139999804e-01,5.540078791254522406e-01
1.480533676710000038e-02,5.913542978579999776e-01,5.505303319125337547e-01
1.974605688070000045e-02,7.554526658860000188e-01,5.337382367186623844e-01
8.496622443699999860e-02,4.791244408020000067e-01,5.417919073000116992e-01
9.046902917320000237e-02,8.322458324389999662e-01,5.114223529623423969e-01
3.625885732530000072e-02,4.141714673299999872e-01,5.512486205461200051e-01
2.740289447870000120e-03,7.879311108059999791e-01,5.394404746083162339e-01
6.551971533540000558e-02,4.056067114140000096e-01,5.446385965987809996e-01
7.577987945620000276e-02,8.496437206389999552e-01,5.080132034043592926e-01
1.027178011620000046e-02,3.361455961409999804e-01,5.720583702832846562e-01
9.472572266699999521e-02,7.967543998720000298e-01,5.172126879096116125e-01
6.013997144310000154e-02,7.992676218719999559e-01,5.202444500347153111e-01
4.847632697160000025e-03,3.309561508369999738e-01,5.861436272690907501e-01
8.342969971779999605e-02,4.089681407329999741e-01,5.449771170967784295e-01
5.949696617840000146e-02,5.385228013720000373e-01,5.418430323740586196e-01
6.011441890230000140e-02,6.041856485130000509e-01,5.368106952486940697e-01
6.756170410619999345e-02,4.422280877570000102e-01,5.446935147563517488e-01
9.276815979529999534e-02,8.951155417830000127e-01,4.950983383609809940e-01
9.502485312130000417e-02,3.804522714360000224e-01,5.445687420988729599e-01
7.978657983879999804e-02,3.627884785080000007e-01,5.453004365715299340e-01
2.848120949019999903e-02,4.068181900380000160e-01,5.537891969965949013e-01
8.144119973180000138e-02,6.387238210890000545e-01,5.337530930301842558e-01
2.111843735030000113e-02,5.339305841170000066e-01,5.495873172938552376e-01
3.610761960560000122e-02,6.853868514559999792e-01,5.356484255398968886e-01
4.684389882579999970e-02,3.183714671930000240e-01,5.526284841887103561e-01
1.859807628669999952e-03,6.773836890900000185e-01,5.707492979409841682e-01
2.742418337409999879e-02,7.423685222170000042e-01,5.317241624922233179e-01
9.711388835579999601e-02,3.706196149800000117e-01,5.446459522744219184e-01
3.909467593509999978e-02,8.376495987330000448e-01,5.139054471433656124e-01
7.482900750570000044e-03,7.553338274359999716e-01,5.403187390598371831e-01
8.323581105470000130e-02,4.540574920020000182e-01,5.439336338151277150e-01
1.203935827330000069e-02,6.188089309780000491e-01,5.513926484553262064e-01
9.862460729819999550e-02,7.121954072520000345e-01,5.273739687462083436e-01
3.938136786350000113e-02,3.606012675060000228e-01,5.527795146512384239e-01
